order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,channel,order_status,city,state,gross_sales,discount_amount,net_revenue
O500000,2025-02-26,C100775,P2095,1,407.22,5,Phone,Completed,Delhi,Delhi,407.22,20.361000000000004,386.85900000000004
O500001,2024-12-03,C100800,P2059,1,526.63,0,Web,Returned,Ahmedabad,Gujarat,526.63,0.0,526.63
O500002,2024-08-11,C101358,P2018,2,1567.41,5,Web,Completed,Bengaluru,Karnataka,3134.82,156.741,2978.079
O500003,2024-06-25,C100118,P2014,2,188.52,0,Mobile App,Completed,Bengaluru,Karnataka,377.04,0.0,377.04
O500004,2025-04-05,C101294,P2015,1,219.9,15,Mobile App,Completed,Pune,Maharashtra,219.9,32.985,186.91500000000002
O500005,2024-12-29,C101244,P2012,1,1157.69,0,Mobile App,Completed,Chennai,Tamil Nadu,1157.69,0.0,1157.69
O500006,2025-01-08,C100167,P2073,1,1229.45,0,Web,Completed,Jaipur,Rajasthan,1229.45,0.0,1229.45
O500007,2024-12-16,C100204,P2027,1,1892.1,5,Mobile App,Completed,Chennai,Tamil Nadu,1892.1,94.605,1797.495
O500008,2025-08-15,C101730,P2051,1,905.27,0,Mobile App,Completed,Bengaluru,Karnataka,905.27,0.0,905.27
O500009,2025-03-19,C101087,P2057,1,543.92,15,Mobile App,Cancelled,Chennai,Tamil Nadu,543.92,81.588,462.332
O500010,2023-10-01,C101564,P2043,2,167.44,0,Mobile App,Completed,Bengaluru,Karnataka,334.88,0.0,334.88
O500011,2025-07-10,C101324,P2051,2,905.27,0,Web,Completed,Chennai,Tamil Nadu,1810.54,0.0,1810.54
O500012,2025-03-14,C101828,P2022,1,949.88,5,Mobile App,Cancelled,Bengaluru,Karnataka,949.88,47.494,902.386
O500013,2025-07-16,C101689,P2092,1,307.01,0,Mobile App,Completed,Delhi,Delhi,307.01,0.0,307.01
O500014,2024-10-17,C100432,P2081,1,857.81,0,Web,Completed,Surat,Gujarat,857.81,0.0,857.81
O500015,2023-12-29,C101672,P2098,1,1666.43,15,Mobile App,Completed,Hyderabad,Telangana,1666.43,249.9645,1416.4655
O500016,2023-10-20,C101383,P2094,1,614.34,0,Web,Returned,Ahmedabad,Gujarat,614.34,0.0,614.34
O500017,2025-01-04,C101779,P2084,1,1154.87,0,Mobile App,Completed,Delhi,Delhi,1154.87,0.0,1154.87
O500018,2024-06-26,C100679,P2066,1,1650.94,0,Mobile App,Completed,Pune,Maharashtra,1650.94,0.0,1650.94
O500019,2024-09-19,C101632,P2038,1,1890.31,0,Web,Completed,Ahmedabad,Gujarat,1890.31,0.0,1890.31
O500020,2024-04-02,C101656,P2007,1,1788.96,0,Web,Completed,Bengaluru,Karnataka,1788.96,0.0,1788.96
O500021,2023-06-06,C100715,P2022,1,949.88,0,Web,Completed,Ahmedabad,Gujarat,949.88,0.0,949.88
O500022,2025-10-23,C100463,P2029,1,858.59,5,Web,Completed,Delhi,Delhi,858.59,42.929500000000004,815.6605000000001
O500023,2025-05-02,C100257,P2097,1,89.21,0,Web,Completed,Ahmedabad,Gujarat,89.21,0.0,89.21
O500024,2025-01-17,C100889,P2012,2,1157.69,0,Mobile App,Completed,Hyderabad,Telangana,2315.38,0.0,2315.38
O500025,2025-09-26,C101539,P2028,1,1067.6,0,Mobile App,Completed,Delhi,Delhi,1067.6,0.0,1067.6
O500026,2024-02-01,C100660,P2017,1,1673.61,0,Web,Completed,Kolkata,West Bengal,1673.61,0.0,1673.61
O500027,2024-07-21,C100485,P2078,1,627.47,0,Web,Completed,Surat,Gujarat,627.47,0.0,627.47
O500028,2025-07-22,C100644,P2084,1,1154.87,0,Web,Completed,Ahmedabad,Gujarat,1154.87,0.0,1154.87
O500029,2024-06-24,C101762,P2043,1,167.44,0,Web,Completed,Jaipur,Rajasthan,167.44,0.0,167.44
O500030,2024-05-16,C101995,P2081,3,857.81,10,Mobile App,Completed,Ahmedabad,Gujarat,2573.43,257.343,2316.087
O500031,2023-07-01,C101846,P2064,1,433.34,0,Phone,Completed,Chennai,Tamil Nadu,433.34,0.0,433.34
O500032,2024-01-17,C101584,P2037,1,1253.02,0,Mobile App,Completed,Mumbai,Maharashtra,1253.02,0.0,1253.02
O500033,2025-05-22,C101275,P2087,1,233.18,0,Web,Completed,Jaipur,Rajasthan,233.18,0.0,233.18
